"Date","Price","Open","High","Low","Vol.","Change %"
"26-04-2013","19,286.72","19,376.00","19,384.95","19,249.75","9.52K","-0.62%"
"25-04-2013","19,406.85","19,192.11","19,434.85","19,192.11","10.19K","1.19%"
"23-04-2013","19,179.36","19,210.26","19,210.26","19,042.08","8.47K","0.05%"
"22-04-2013","19,169.83","18,989.78","19,204.90","18,989.78","8.59K","0.81%"
"18-04-2013","19,016.46","18,695.34","19,058.80","18,691.61","9.98K","1.52%"
"17-04-2013","18,731.16","18,773.45","18,869.88","18,673.44","10.91K","-0.07%"
"16-04-2013","18,744.93","18,356.32","18,771.33","18,325.73","9.34K","2.11%"
"15-04-2013","18,357.80","18,196.09","18,424.40","18,144.22","9.29K","0.63%"
"12-04-2013","18,242.56","18,275.66","18,337.91","18,186.10","9.44K","-1.62%"
"11-04-2013","18,542.20","18,577.52","18,599.14","18,397.94","8.33K","0.69%"
"10-04-2013","18,414.45","18,355.14","18,461.44","18,173.31","7.96K","1.03%"
"09-04-2013","18,226.48","18,481.47","18,565.56","18,206.61","10.60K","-1.15%"
"08-04-2013","18,437.78","18,455.80","18,504.48","18,402.93","7.58K","-0.07%"
"05-04-2013","18,450.23","18,493.67","18,525.45","18,389.29","7.94K","-0.32%"
"04-04-2013","18,509.70","18,731.38","18,733.62","18,473.85","8.35K","-1.55%"
"03-04-2013","18,801.64","19,034.00","19,035.20","18,721.72","7.70K","-1.26%"
"02-04-2013","19,040.95","18,863.82","19,060.51","18,826.53","8.29K","0.93%"
"01-04-2013","18,864.75","18,890.81","18,959.48","18,796.60","8.43K","0.15%"
"28-03-2013","18,835.77","18,702.46","18,882.54","18,568.43","14.67K","0.70%"
"26-03-2013","18,704.53","18,645.09","18,758.88","18,612.37","11.92K","0.12%"
"25-03-2013","18,681.42","18,894.13","18,950.22","18,654.61","12.14K","-0.29%"
"22-03-2013","18,735.60","18,784.93","18,859.82","18,669.20","13.53K","-0.30%"
"21-03-2013","18,792.87","18,926.21","19,082.29","18,756.65","12.49K","-0.48%"
"20-03-2013","18,884.19","19,026.46","19,028.09","18,836.77","11.09K","-0.65%"
"19-03-2013","19,008.10","19,345.91","19,378.61","18,939.47","12.67K","-1.48%"
"18-03-2013","19,293.20","19,282.63","19,345.42","19,232.23","7.46K","-0.69%"
"15-03-2013","19,427.56","19,570.01","19,673.16","19,383.13","10.21K","-0.73%"
"14-03-2013","19,570.44","19,367.26","19,604.70","19,179.33","11.15K","1.07%"
"13-03-2013","19,362.55","19,511.97","19,511.97","19,338.52","8.20K","-1.03%"
"12-03-2013","19,564.92","19,675.81","19,697.84","19,505.75","7.61K","-0.41%"
"11-03-2013","19,646.21","19,679.88","19,754.66","19,602.71","7.48K","-0.19%"
"08-03-2013","19,683.23","19,478.67","19,706.03","19,477.61","10.01K","1.39%"
"07-03-2013","19,413.54","19,222.05","19,465.52","19,212.92","8.84K","0.84%"
"06-03-2013","19,252.61","19,254.20","19,293.39","19,195.47","9.49K","0.57%"
"05-03-2013","19,143.17","18,943.62","19,164.04","18,943.62","9.40K","1.40%"
